SALES,COST_OF_SALES,QUANTITY_SOLD,GROSS_PROFIT,DAILY_UNIT_PRICE,DAILY_GROSS_PROFIT_PERCENT,DAILY_GROSS_PROFIT_PER_UNIT
20495.11303,18375.05261,508,2120.06042,40.34471068898,10.34422409300,4.17334728346
22334.21253,19704.09315,521,2630.11938,42.86797030710,11.77619034700,5.04821378119
23234.18320,24104.08598,604,-869.90278,38.46719072848,-3.74406439200,-1.44023639073
24754.95718,25407.17407,643,-652.21689,38.49915580093,-2.63469205500,-1.01433419907
26870.32387,23516.04172,641,3354.28215,41.91938201248,12.48322188500,5.23288946958
27210.40663,23570.15916,647,3640.24747,42.05626990726,13.37814432400,5.62634848532
29751.22261,28084.23513,760,1666.98748,39.14634553947,5.60308899500,2.19340457895
30066.12618,25872.48835,715,4193.63783,42.05052612587,13.94804839500,5.86522773427
30194.71596,28605.46080,773,1589.25516,39.06172827943,5.26335522400,2.05595751617
30371.43134,26054.84917,709,4316.58217,42.83699765867,14.21263990400,6.08826822285
30423.39146,26053.79672,723,4369.59474,42.07937961272,14.36261550800,6.04369950207
30424.72626,27398.58813,755,3026.13813,40.29765067550,9.94631177300,4.00812997351
30831.69463,26577.07945,733,4254.61518,42.06233919509,13.79948533800,5.80438633015
31023.35977,27817.64247,768,3205.71730,40.39499970052,10.33323703100,4.17411106771
31219.95153,26893.30468,737,4326.64685,42.36085689281,13.85859566700,5.87061987788
32479.79639,30763.68812,829,1716.10827,39.17948901086,5.28361769700,2.07009441496
33225.67047,28489.08140,790,4736.58907,42.05781072152,14.25581185600,5.99568236709
34348.50419,32292.83760,817,2055.66659,42.04223279070,5.98473394500,2.51611577723
34406.75001,29884.33059,818,4522.41942,42.06204157702,13.14398895200,5.52863009780
35014.39948,30393.74012,832,4620.65936,42.08461475962,13.19645468300,5.55367711538
35165.97208,36841.96732,922,-1675.99524,38.14096754881,-4.76595737500,-1.81778225597
35169.91581,30133.31864,836,5036.59717,42.06927728469,14.32075412800,6.02463776316
36113.93487,31885.28845,896,4228.64642,40.30573088170,11.70918216300,4.71947145089
36692.67986,35299.06424,1047,1393.61562,35.04553950334,3.79807532500,1.33105598854
36851.76375,31574.32547,876,5277.43828,42.06822345890,14.32072102700,6.02447292237
37155.58848,34962.83050,883,2192.75798,42.07880915062,5.90155632000,2.48330462061
37453.00618,35108.20011,892,2344.80607,41.98767508969,6.26066185100,2.62870635650
37672.44729,33678.45927,877,3993.98802,42.95604023945,10.60188097000,4.55414825542
37726.61590,32490.13602,897,5236.47988,42.05865763657,13.88006783800,5.83777021182
37776.65877,32719.68964,880,5056.96913,42.92802132955,13.38649127400,5.74655582955
37870.11903,32436.79597,900,5433.32306,42.07791003333,14.34725635700,6.03702562222
37923.76586,34031.14949,940,3892.61637,40.34443176596,10.26431917200,4.14108124468
38340.59961,35918.33515,913,2422.26446,41.99408500548,6.31775320300,2.65308265060
38648.13752,35038.06869,906,3610.06883,42.65798843267,9.34086106500,3.98462343267
39104.63910,33890.36043,930,5214.27867,42.04799903226,13.33416901400,5.60675125806
39403.65856,34229.63192,937,5174.02664,42.05299739594,13.13082802200,5.52190676628
39463.40906,41414.41837,1035,-1951.00931,38.12889764251,-4.94384382000,-1.88503314976
39809.55909,34091.56966,946,5717.98943,42.08198635307,14.36335784800,6.04438628964
40067.15121,34559.08452,953,5508.06669,42.04318070304,13.74708838500,5.77971321091
40131.57351,36347.69872,940,3783.87479,42.69316330851,9.42867288500,4.02539871277
40140.82003,38881.08844,1018,1259.73159,39.43106093320,3.13828065600,1.23745735756
40530.64229,35674.19076,968,4856.45153,41.87049823347,11.98217263700,5.01699538223
40742.17168,36464.75981,1010,4277.41187,40.33878384158,10.49873311500,4.23506125743
40776.02706,39940.19958,979,835.82748,41.65069158325,2.04980117100,0.85375636364
40881.35491,35019.11264,972,5862.24227,42.05900710905,14.33964770200,6.03111344650
40951.10428,37288.62455,954,3662.47973,42.92568582809,8.94354326800,3.83907728512
41855.92876,39629.45187,1078,2226.47689,38.82739217069,5.31938235700,2.06537744898
41885.82828,37565.47859,1039,4320.34969,40.31359795958,10.31458578600,4.15818064485
41893.30316,39495.45590,997,2397.84726,42.01936124373,5.72370063700,2.40506244734
42054.68047,40736.15048,1067,1318.52999,39.41394608247,3.13527525400,1.23573569822
42195.81736,40869.24947,1070,1326.56789,39.43534332710,3.14383740600,1.23978307477
42723.52446,36607.39066,1016,6116.13380,42.05071305118,14.31561154500,6.01981673228
42723.52446,37112.98506,1016,5610.53940,42.05071305118,13.13220168700,5.52218444882
42871.83287,37139.30826,1019,5732.52461,42.07245620216,13.37130751400,5.62563749755
43085.59501,36887.36617,1024,6198.22884,42.07577637695,14.38584946700,6.05295785156
43213.17762,42981.21685,1050,231.96077,41.15540725714,0.53678248800,0.22091501905
43292.14924,37391.68089,1029,5900.46835,42.07205951409,13.62941885200,5.73417721088
43537.72816,37649.38753,1035,5888.34063,42.06543783575,13.52468509200,5.68921800000
43894.99343,37604.65842,1044,6290.33501,42.04501286398,14.33041565400,6.02522510536
44303.46649,41485.45872,1124,2818.00777,39.41589545374,6.36069362800,2.50712435053
44304.89836,45468.83698,1142,-1163.93862,38.79588297723,-2.62711046200,-1.01921070053
44698.70075,46849.56715,1171,-2150.86640,38.17139261315,-4.81192151900,-1.83677745517
45046.51321,42368.04535,1071,2678.46786,42.06023642390,5.94600485000,2.50090369748
45324.05453,38809.80890,1078,6514.24563,42.04457748609,14.37260125500,6.04289947124
45839.23877,39231.19537,1090,6608.04340,42.05434749541,14.41569183400,6.06242513761
46211.33246,46407.29912,1122,-195.96666,41.18657081996,-0.42406624000,-0.17465834225
46291.37192,39783.36067,1101,6508.01125,42.04484279746,14.05879968600,5.91100022707
46566.46205,41660.44043,1155,4906.02162,40.31728316017,10.53552579300,4.24763776623
46599.29813,43806.73201,1182,2792.56612,39.42411009306,5.99272141900,2.36257708968
46818.20532,40652.57641,1096,6165.62891,42.71734062044,13.16929785700,5.62557382299
47497.98253,41179.08825,1122,6318.89428,42.33331776292,13.30350036700,5.63181308378
48008.48284,47681.67208,1166,326.81076,41.17365595197,0.68073544600,0.28028367067
48037.79990,45187.64158,1143,2850.15832,42.02782143482,5.93315748400,2.49357683290
48102.96241,49028.36507,1169,-925.40266,41.14881301112,-1.92379557000,-0.79161904192
48406.78715,45316.54273,1232,3090.24442,39.29122333604,6.38390730300,2.50831527597
48442.17148,41610.78394,1152,6831.38754,42.05049607639,14.10214970000,5.93002390625
48529.10336,47409.55406,1291,1119.54930,37.59032018590,2.30696473400,0.86719542990
48648.99266,48362.06879,1182,286.92387,41.15820021997,0.58978378400,0.24274439086
48831.66611,44014.23202,1211,4817.43409,40.32342370768,9.86538955900,3.97806283237
49436.81586,48289.89228,1314,1146.92358,37.62314753425,2.31997866400,0.87284899543
49705.23200,48370.30899,1419,1334.92301,35.02835236082,2.68567906500,0.94074912615
49825.09704,44593.79688,1235,5231.30016,40.34420812955,10.49932758900,4.23587057490
50000.10144,48827.88538,1198,1172.21606,41.73631171953,2.34442736400,0.97847751252
50084.81270,44832.21260,1241,5252.60010,40.35843086221,10.48741088700,4.23255447220
50415.90376,49769.09824,1476,646.80552,34.15711636856,1.28293945300,0.43821512195
50669.63710,50308.95705,1230,360.68005,41.19482691057,0.71182678700,0.29323581301
50736.47417,43830.19685,1206,6906.27732,42.07004491708,13.61205608600,5.72659810945
50934.98319,44983.77730,1263,5951.20589,40.32856942993,11.68392628700,4.71196032462
51002.83957,48601.96750,1300,2400.87207,39.23295351538,4.70733020000,1.84682466923
51040.88137,50038.14263,1361,1002.73874,37.50248447465,1.96457959400,0.73676615724
51241.02855,52509.91622,1307,-1268.88767,39.20507157613,-2.47631186600,-0.97083983933
51497.23734,44611.93968,1224,6885.29766,42.07290632353,13.37022725000,5.62524318627
51604.11841,44222.78448,1227,7381.33393,42.05714621842,14.30376907400,6.01575707416
51751.38325,45607.23410,1284,6144.14915,40.30481561526,11.87243463700,4.78516288941
51907.94315,44544.63074,1234,7363.31241,42.06478375203,14.18532880200,5.96702788493
52075.15718,46884.14251,1291,5191.01467,40.33706985283,9.96831301400,4.02092538342
52160.18393,49656.00775,1329,2504.17618,39.24769294959,4.80093433600,1.88425596689
53433.66803,55516.52556,1381,-2082.85753,38.69201160753,-3.89802461000,-1.50822413469
53490.79747,51799.16590,1357,1691.63157,39.41842112749,3.16247214500,1.24659658806
53675.21828,48201.94098,1257,5473.27730,42.70104875099,10.19702849000,4.35423810660
53678.17911,51999.86087,1361,1678.31824,39.44024916238,3.12663035100,1.23315080088
53973.92224,47192.49828,1281,6781.42396,42.13420939891,12.56426007000,5.29385164715
54612.87884,49071.80254,1301,5541.07630,41.97761632590,10.14609816900,4.25909016141
54738.48352,49990.51929,1280,4747.96423,42.76444025000,8.67390531200,3.70934705469
54821.90851,50800.00851,1303,4021.90000,42.07360591711,7.33630059500,3.08664620107
54845.78930,51625.51172,1304,3220.27758,42.05965437117,5.87151287500,2.46953802147
54996.62169,54503.02855,1368,493.59314,40.20220883772,0.89749720000,0.36081369883
55033.12240,53997.21887,1466,1035.90353,37.53964693042,1.88232737800,0.70661905184
55134.08182,57064.75070,1423,-1930.66888,38.74496262825,-3.50177025900,-1.35675957836
55166.22623,53436.89709,1399,1729.32914,39.43261345961,3.13476062800,1.23611804146
55489.33276,52263.05699,1320,3226.27577,42.03737330303,5.81422700500,2.44414831061
55591.93034,53463.24421,1627,2128.68613,34.16836529809,3.82912792700,1.30835041795
55780.70745,53688.24120,1592,2092.46625,35.03813282035,3.75123648600,1.31436322236
55930.16864,54177.69006,1419,1752.47858,39.41519988724,3.13333326600,1.23500957012
56077.54269,53925.25763,1601,2152.28506,35.02657257339,3.83805166300,1.34433795128
56303.36657,54996.86661,1497,1306.49996,37.61079931196,2.32046508000,0.87274546426
56673.61581,55278.70783,1618,1394.90798,35.02695661928,2.46130048400,0.86211865266
56874.34546,55172.17123,1353,1702.17423,42.03573204730,2.99286825400,1.25807407982
56974.86803,57548.98515,1467,-574.11712,38.83767418541,-1.00766731000,-0.39135454669
56976.78528,59094.07686,1474,-2117.29158,38.65453546811,-3.71606009300,-1.43642576662
57019.38967,55187.38391,1534,1832.00576,37.17039743807,3.21295224400,1.19426711864
57063.98412,56638.28137,1386,425.70275,41.17170571429,0.74600951300,0.30714484127
57184.94127,51764.93737,1332,5420.00390,42.93163759009,9.47802652200,4.06907199700
57233.40664,55706.87543,1365,1526.53121,41.92923563370,2.66720312400,1.11833788278
57296.28785,52701.29461,1335,4594.99324,42.91856767790,8.01970496200,3.44194250187
57310.19404,58531.41099,1392,-1221.21695,41.17111640805,-2.13088957500,-0.87731102730
57381.75145,54340.89151,1469,3040.85994,39.06177770592,5.29935016500,2.07002038121
57413.41048,55617.58464,1456,1795.82584,39.43228741758,3.12788567200,1.23339686813
57427.68071,58723.04053,1467,-1295.35982,39.14633995228,-2.25563666200,-0.88299919564
57749.13694,55933.00858,1465,1816.12836,39.41920610239,3.14485801200,1.23967806143
57806.30278,57157.28254,1704,649.02024,33.92388660798,1.12274995800,0.38088042254
58278.45793,56969.92259,1398,1308.53534,41.68702283977,2.24531565600,0.93600525036
58359.83218,57681.56988,1466,678.26230,39.80888961801,1.16220742000,0.46266186903
58796.78502,57168.56050,1581,1628.22452,37.18961734345,2.76924073200,1.02987003163
58941.79283,52812.78251,1462,6129.01032,40.31586376881,10.39841176500,4.19220952120
59442.73112,59785.42861,1528,-342.69749,38.90231094241,-0.57651706700,-0.22427846204
59514.99233,51145.40334,1415,8369.58899,42.06006525088,14.06299263800,5.91490387986
59553.38603,60703.35603,1446,-1149.97000,41.18491426694,-1.93099011900,-0.79527662517
59609.54471,57736.47666,1512,1873.06805,39.42430205688,3.14222841200,1.23880162037
59808.13867,57937.45866,1517,1870.68001,39.42527268952,3.12780175300,1.23314437047
59897.71588,61194.18026,1455,-1296.46438,41.16681503780,-2.16446380500,-0.89104081100
60187.14905,62538.49328,1563,-2351.34423,38.50745300704,-3.90672139700,-1.50437890595
60310.33895,58446.05493,1434,1864.28402,42.05741907252,3.09115162100,1.30005859135
60528.09336,62342.88117,1577,-1814.78781,38.38179667724,-2.99825702300,-1.15078491439
61037.56223,57992.34151,1661,3045.22072,36.74747876580,4.98909296000,1.83336587598
61148.20501,52384.44748,1454,8763.75753,42.05516162999,14.33199474700,6.02734355571
61656.18133,53463.73456,1466,8192.44677,42.05742246248,13.28730809000,5.58829929741
61685.93524,57191.43932,1499,4494.49592,41.15139108739,7.28609512400,2.99832949967
62073.58541,60083.86984,1772,1989.71557,35.03024007336,3.20541427900,1.12286431716
62499.79917,62073.87265,1518,425.92652,41.17246322134,0.68148462200,0.28058400527
62501.74070,56100.87429,1467,6400.86641,42.60514021813,10.24110102900,4.36323545331
62631.79875,61158.36109,1665,1473.43766,37.61669594595,2.35253926800,0.88494754354
62786.61128,61213.25591,1497,1573.35537,41.94162410154,2.50587718900,1.05100559118
62795.97915,64144.08888,1525,-1348.10973,41.17769124590,-2.14680899700,-0.88400638033
63331.33100,64690.05907,1610,-1358.72807,39.33623043478,-2.14542794000,-0.84393047826
63968.38248,61942.84268,1622,2025.53980,39.43796700370,3.16647024900,1.24879149199
63977.75035,62863.98724,1872,1113.76311,34.17614869124,1.74086007100,0.59495892628
64034.94046,55491.33853,1525,8543.60193,41.99012489180,13.34209397000,5.60236192131
64308.91422,68427.59467,1746,-4118.68045,36.83213872852,-6.40452494000,-2.35892351088
64394.07445,67505.25414,1690,-3111.17969,38.10300263314,-4.83146891500,-1.84093472781
64640.36931,63757.83987,1892,882.52944,34.16510005814,1.36529145700,0.46645319239
64653.97214,65980.42209,1570,-1326.44995,41.18087397452,-2.05161400900,-0.84487257962
64956.46208,62169.77712,1546,2786.68496,42.01582282018,4.29008118800,1.80251291074
65133.96620,55946.05656,1548,9187.90964,42.07620555556,14.10617251800,5.93534214470
65905.72326,62023.88130,1573,3881.84196,41.89810760331,5.88999220100,2.46779527018
66400.30305,57741.73891,1579,8658.56414,42.05212352755,13.03994672100,5.48357450285
66550.98983,67952.15055,1616,-1401.16072,41.18254321163,-2.10539426000,-0.86705490099
66799.72373,69323.64787,1734,-2523.92414,38.52348542676,-3.77834517700,-1.45555025375
66954.36637,66756.37644,1626,197.98993,41.17734709102,0.29570876500,0.12176502460
67046.27342,61894.26256,1628,5152.01086,41.18321463145,7.68426132800,3.16462583538
67152.47495,66802.98322,1631,349.49173,41.17257814224,0.52044504700,0.21428064378
67355.06118,60179.02085,1671,7176.04033,40.30823529623,10.65404767600,4.29445860563
67458.30189,66529.44200,1974,928.85989,34.17340521277,1.37693933000,0.47054705674
67521.03749,61233.71887,1582,6287.31862,42.68080751580,9.31164397600,3.97428484197
67587.54693,62760.35683,1644,4827.19010,41.11164655109,7.14212945900,2.93624701946
67780.72889,58196.14599,1611,9584.58290,42.07369887647,14.14057219100,5.94946176288
68504.63944,64881.97565,1755,3622.66379,39.03398258689,5.28820211200,2.06419589174
68918.41529,66990.88135,1967,1927.53394,35.03732348246,2.79683439000,0.97993591256
68988.34667,66539.16520,1642,2449.18147,42.01482744823,3.55013794100,1.49158433009
68996.56176,65211.57177,1766,3784.98999,39.06940077010,5.48576609200,2.14325593998
69051.33709,70482.71780,1677,-1431.38071,41.17551406679,-2.07292251000,-0.85353649970
69163.55737,59948.43871,1644,9215.11866,42.07029037105,13.32366207100,5.60530332117
69425.44512,68280.38328,1982,1145.06184,35.02797432896,1.64934029300,0.57773049445
69440.92880,62070.75118,1618,7370.17762,42.91775574784,10.61359308900,4.55511595797
69522.83697,64616.07665,1692,4906.76032,41.08914714539,7.05776768300,2.89997654846
69570.50147,66313.94098,1894,3256.56049,36.73204935058,4.68095014600,1.71940891763
69579.06846,59598.91780,1654,9980.15066,42.06715142684,14.34361063000,6.03394840387
69597.36735,71051.36350,1690,-1453.99615,41.18187417160,-2.08915395100,-0.86035275148
69598.07115,61492.96831,1658,8105.10284,41.97712373341,11.64558543900,4.88848180941
69704.49111,68293.09639,1898,1411.39472,36.72523240780,2.02482608700,0.74362208641
69864.83699,62545.19068,1733,7319.64631,40.31438949221,10.47686737000,4.22368511829
69926.65036,71362.51784,1787,-1435.86748,39.13075006156,-2.05339090700,-0.80350726357
69968.07770,72665.72553,1812,-2697.64783,38.61372941501,-3.85554086800,-1.48876811810
70020.59601,62316.15134,1639,7704.44467,42.72153508847,11.00311209700,4.70069839536
70153.08097,68252.24221,2002,1900.83876,35.04149898601,2.70955848800,0.94946991009
70194.79954,67061.62271,2003,3133.17683,35.04483252122,4.46354552000,1.56424205192
70279.47439,61976.30579,1740,8303.16860,40.39050252299,11.81450014000,4.77193597701
70286.99781,66639.69805,1810,3647.29976,38.83259547514,5.18915286400,2.01508274033
70402.99193,63452.76104,1650,6950.23089,42.66847995758,9.87206750700,4.21226114545
70441.90741,60910.74840,1675,9531.15901,42.05487009552,13.53052374700,5.69024418507
70509.13279,67141.97963,1923,3367.15316,36.66621569943,4.77548514200,1.75098968279
70512.89450,65453.27639,1715,5059.61811,41.11539037901,7.17545088200,2.95021464140
70641.25372,60629.55300,1679,10011.70072,42.07340900536,14.17259772800,5.96289500893
70815.19029,71913.06858,1797,-1097.87829,39.40745146912,-1.55034292100,-0.61095063439
70875.11067,69489.36085,2023,1385.74982,35.03465678201,1.95519951500,0.68499743945
71056.06100,74589.17287,1866,-3533.11187,38.07934673098,-4.97228782500,-1.89341472133
71199.58840,68669.39496,1694,2530.19344,42.03045360094,3.55366301500,1.49362068477
71508.89795,61500.57465,1700,10008.32330,42.06405761765,13.99591321800,5.88724900000
71529.16264,67551.25097,1666,3977.91167,42.93467145258,5.56124456500,2.38770208283
71590.36929,69654.93031,1784,1935.43898,40.12913076794,2.70349070600,1.08488732063
71912.56573,73762.62917,1849,-1850.06344,38.89268022174,-2.57265669900,-1.00057514332
71973.04430,73851.78840,1846,-1878.74410,38.98864804984,-2.61034407800,-1.01773786566
72353.42588,71377.15646,2117,976.26942,34.17733863014,1.34930641900,0.46115702409
72457.29759,64758.50417,1797,7698.79342,40.32125631052,10.62528368600,4.28424786867
72756.86310,67872.77433,1847,4884.08877,39.39191288576,6.71289080100,2.64433609637
73041.66087,73046.23390,1774,-4.57303,41.17342777339,-0.00626085200,-0.00257780722
73453.14329,63386.49259,1746,10066.65070,42.06938332761,13.70486033600,5.76555022910
73768.03473,72471.91932,2105,1296.11541,35.04419702138,1.75701496600,0.61573178622
74115.62878,71994.34639,1968,2121.28239,37.66038047764,2.86212560700,1.07788739329
74132.78702,74332.27948,1882,-199.49246,39.39042880978,-0.26910152400,-0.10600024442
74297.30718,72782.28432,2176,1515.02286,34.14398307904,2.03913562600,0.69624212316
74354.57010,76978.30524,1922,-2623.73514,38.68604063476,-3.52868039800,-1.36510673257
74401.21529,68988.86126,1808,5412.35403,41.15111465155,7.27455056900,2.99355864491
74690.67273,74427.58597,1814,263.08676,41.17457151599,0.35223509200,0.14503128997
74744.28315,76003.92825,1815,-1259.64510,41.18142322314,-1.68527283500,-0.69401933884
75384.57455,73393.44659,2151,1991.12796,35.04629221292,2.64129362300,0.92567548117
75425.44370,77014.25596,1861,-1588.81226,40.52952375067,-2.10646723700,-0.85374113917
75483.42255,78024.28468,1948,-2540.86213,38.74919022074,-3.36611940000,-1.30434400924
75504.00274,77978.69447,1944,-2474.69173,38.83950758230,-3.27756362600,-1.27298957305
75633.32059,74546.66825,2159,1086.65234,35.03164455303,1.43673758000,0.50331280222
75871.43677,73905.81016,2017,1965.62661,37.61598253347,2.59073334300,0.97452980169
76013.67790,72211.10317,1961,3802.57473,38.76271183070,5.00248749300,1.93909981132
76103.29152,73967.60569,2016,2135.68583,37.74964857143,2.80629889600,1.05936797123
76661.25003,66379.56360,1825,10281.68643,42.00616440000,13.41184291400,5.63380078356
76691.28303,78691.95632,2006,-2000.67329,38.23094866899,-2.60873623600,-0.99734461117
76894.77935,78468.09550,1868,-1573.31615,41.16422877409,-2.04606367700,-0.84224633298
76956.92035,74212.79057,1830,2744.12978,42.05296193989,3.56579988800,1.49952446995
76992.93568,78614.45775,1870,-1621.52207,41.17269287701,-2.10606603800,-0.86712410160
77171.70180,66113.83204,1835,11057.86976,42.05542332425,14.32891785700,6.02608706267
77229.97189,71428.87000,1763,5801.10189,43.80599653432,7.51146445900,3.29047186047
77335.91860,69612.12670,1917,7723.79190,40.34215889411,9.98732806200,4.02910375587
77344.69187,68269.24884,1841,9075.44303,42.01232583922,11.73376324900,4.92962684954
77645.74994,79555.63474,1982,-1909.88480,39.17545405651,-2.45974158500,-0.96361493441
77672.88278,80417.74644,2007,-2744.86366,38.70098793224,-3.53387638200,-1.36764507225
77884.18161,77619.29489,1914,264.88672,40.69183992163,0.34010336200,0.13839431557
77997.04501,73051.67554,1855,4945.36947,42.04692453369,6.34045747400,2.66596736927
78092.27692,79795.04310,1897,-1702.76618,41.16619763838,-2.18045400500,-0.89761000527
78111.71646,74251.87473,2127,3859.84173,36.72389114245,4.94143760400,1.81468816643
78276.83122,73746.75871,1866,4530.07251,41.94899851018,5.78724565000,2.42769159164
78700.43605,67367.38324,1871,11333.05281,42.06330093533,14.40024144600,6.05721689471
78736.40284,77071.54271,2247,1664.86013,35.04067772141,2.11447319100,0.74092573654
78746.59586,75673.78199,1875,3072.81387,41.99818445867,3.90215454600,1.63883406400
78861.59494,69675.42915,1955,9186.16579,40.33841173402,11.64846564000,4.69880603069
78940.55442,75934.39482,2310,3006.15960,34.17340018182,3.80813084200,1.30136779221
79080.75696,80337.74831,1921,-1256.99135,41.16645338886,-1.58950343700,-0.65434219157
79648.62939,79349.40245,1934,299.22694,41.18336576525,0.37568372800,0.15471920372
79711.58341,74375.78871,1937,5335.79470,41.15208229737,6.69387618700,2.75466943727
79752.28268,74962.81640,1897,4789.46628,42.04126656827,6.00542845800,2.52475818661
79840.08825,69078.71414,1898,10761.37411,42.06537842466,13.47866008900,5.66984937302
80090.80008,78096.76018,2348,1994.03990,34.11022149915,2.48972403600,0.84925038330
80326.44081,81730.27070,2050,-1403.82989,39.18362966341,-1.74765603400,-0.68479506829
80345.63766,68788.09454,1910,11557.54312,42.06577887958,14.38477987900,6.05106969634
80635.28925,80121.29052,1959,513.99873,41.16145444104,0.63743645600,0.26237811639
80697.90350,77649.63653,2303,3048.26697,35.04034020842,3.77738062300,1.32360702128
80823.05920,78844.86050,2307,1978.19870,35.03383580407,2.44756721600,0.85747667967
81142.02785,83114.57681,2074,-1972.54896,39.12344640791,-2.43098307000,-0.95108435873
81342.15076,81132.01290,1976,210.13786,41.16505605263,0.25833821500,0.10634507085
81378.21463,77703.64633,2323,3674.56830,35.03151727508,4.51542014900,1.58182018941
81530.61238,81738.05644,2213,-207.44406,36.84166849526,-0.25443701900,-0.09373884320
81649.68867,77081.66057,1901,4568.02810,42.95091460810,5.59466689300,2.40296059968
81715.04533,85089.22343,2109,-3374.17810,38.74587260787,-4.12920054900,-1.59989478426
